feature,mi_score
h4_atr_14,0.2636960675521469
h4_stoch_k,0.2623159923584226
h4_bb_pct,0.2603837186022595
h4_ema_200,0.26021245731994735
h4_atr_pct,0.26016491041917433
h4_price_pos_20,0.25986204732214313
h4_ema_20,0.2594201093820425
h4_momentum_score,0.2590509890876924
h4_rsi_14,0.259023261103851
h4_pa_score,0.2588150944454739
h4_macd_hist,0.2585736842008939
h4_ema_50,0.25678782961757696
h4_adx,0.25611763826112544
h1_ichi_conv,0.21359111143717557
h1_ema_200,0.19490739671882418
h1_ema_20,0.1904545409132643
h1_atr_14,0.18972250311796746
h1_ema_50,0.18679374545377403
h1_atr_pct,0.18632265737299125
h1_price_pos_20,0.18367266209347255
h1_bb_pct,0.18308563530957844
h1_momentum_score,0.1823077788888039
h1_macd_hist,0.18169970870207885
h1_rsi_14,0.17986403403833906
h1_adx,0.1774738526824562
ichi_b,0.1772405508577739
ichi_base,0.1767897446453084
h1_stoch_k,0.17553765253569642
rolling_low_20,0.17190375015788817
h1_pa_score,0.17153206162165713
rolling_high_20,0.1634019671559459
h1_ichi_base,0.1607902395309031
h4_ichi_conv,0.15755206401455002
rolling_low_50,0.1267820823866086
rolling_high_50,0.12619730431630627
ichi_conv,0.09941522536807357
hour_utc,0.09747575655013829
h4_ichi_base,0.09251603118189022
supertrend,0.09240696608768095
rolling_high_100,0.08247539223188838
rolling_low_100,0.08118641105920599
ichi_a,0.07874471821045059
ema_200,0.06265602741079768
vwap,0.06250675517699467
rolling_low_200,0.06232417224935727
rolling_high_200,0.05735814987187471
ema_100,0.05001818580359174
cloud_thickness,0.04126416689747048
ema_50,0.035036880956975214
bb_lower,0.0328952002599765
bb_upper,0.03153055606042443
relative_range,0.031177822045922454
is_london_session,0.030520147951575982
atr_expanding,0.029550592976319123
bb_mid,0.028226999925490937
kc_lower,0.027985046994300156
kc_mid,0.027874247494772852
ema_20,0.027868114639514996
kc_upper,0.027774161375917927
ema_9,0.025251523664977515
macro_dxy_pct_5d,0.024450251890798747
is_swing_low,0.02285131413891328
macro_silver,0.02276980092873293
atr_ratio,0.02072449855741798
macro_oil,0.019780573499552645
macro_vix,0.0186450126760751
is_swing_high,0.017849596048977734
macro_us10y,0.017175245485570922
macro_dxy,0.016893497465072294
h1_vol_regime_num,0.01616404502872859
hv_ratio,0.015769996937585518
vol_trade_quality,0.015756342433391968
atr_21,0.014545573487169783
is_tokyo_session,0.013766051606869834
is_big_candle,0.012771565988319633
dist_low_50_pct,0.012526999206154965
dist_high_50_pct,0.011862763331581316
hv_20,0.011548273503943385
is_small_candle,0.01148129305695722
is_hl,0.011080716011605762
is_lh,0.010546992242044695
is_hh,0.010245492461737005
atr_14,0.01022537226581477
sl_atr_1x,0.01022537226581477
sl_atr_1_5x,0.01022537226581477
sl_atr_2x,0.01022537226581477
tp_atr_2x,0.01022537226581477
tp_atr_3x,0.01022537226581477
candle_range,0.009965589365676486
is_ll,0.009896060469422707
pivot_s1,0.009771439976204999
pivot,0.00976714784201338
cam_r3,0.009694597530947924
tr,0.009690980142699424
body_ratio,0.009664891426061306
cam_s3,0.009442469339444148
pivot_r2,0.009360336647357581
range_used_pct,0.00930726605169907
hh_count_20,0.009074281465212941
dist_high_100_pct,0.008944955314624359
pivot_s2,0.008745820249145275
rsi_slope_3,0.00864710948442271
log_return_abs,0.008632579347759073
is_ny_session,0.008586028417254532
close_position,0.008554255759189555
lower_wick_ratio,0.008389841773869922
cam_s4,0.008104412397329508
kc_width,0.0077858868960816174
atr_pct,0.007737015118212565
is_overlap_session,0.007523291834525381
atr_pct_rank,0.007313263590889019
cam_r4,0.007251349572533261
pivot_r1,0.007233596426988065
pivot_r3,0.007113674518608892
pivot_s3,0.006972005516863611
sl_dynamic,0.006936992809626563
dist_high_20_pct,0.0068403052851939705
nearest_pivot_dist,0.006815550971066564
hv_10,0.006660104468239059
cci_10,0.0065983314750939215
dist_low_100_pct,0.006555649337302238
dist_high_200_pct,0.006427429371161697
dist_r1_pct,0.006402389133331798
is_sydney_session,0.006273955007404464
dist_low_200_pct,0.006236678293010112
lh_count_20,0.0061929460758824995
h4_vol_regime_num,0.006062864607938145
hl_count_20,0.006052653867867797
ema_alignment,0.00604788922582955
rsi_14,0.0060176960020443815
momentum_score,0.0059983145685675865
upper_wick_ratio,0.005960621313565007
near_low_50,0.005711597147296299
cci_20,0.005688017265995882
stoch_d,0.0056739443081958996
cci_norm,0.00560549183612391
dist_supertrend_pct,0.0055555511751972375
bb_width,0.005529530268732152
htf_conflict,0.0055184470504130445
log_return_1,0.005316920021399607
bb_pct,0.005299059038853304
roc_20,0.005289136338015421
candle_lower_wick,0.005243664365231826
macd_signal,0.005219627341994215
rsi_21,0.005130067789440584
adx_di_bull,0.005110262268409382
wr_norm,0.005101913331080787
price_pos_50,0.005019130900709712
ll_count_20,0.00500071005501157
rsi_7,0.004864417952874511
dist_low_20_pct,0.004864281017025185
near_high_50,0.004820552016054691
williams_r,0.004699470280250306
dist_ema_200_pct,0.004599352998219786
pat_hang_man,0.004591454970375164
near_r1,0.004563804334970278
dist_r2_pct,0.004544687665881675
cloud_bullish,0.004162117316444114
h1_adx_di_bull,0.004134781645587893
pat_bear_harami,0.004131243014527719
h1_stoch_cross,0.004113681397310831
pat_bear_score,0.004012060964395214
structure_bull,0.003982059511510094
vol_regime_enc,0.003974309042948043
price_pos_100,0.00394774866156089
structure_score,0.0038862000343207193
atr_7,0.0038585727961719662
rsi_zone_enc,0.0038383356249163114
h4_stoch_cross,0.0037566678305664958
price_below_cloud,0.0037456234470782945
price_below_kc_lower,0.003652300343007564
squeeze_off,0.0036012325811012325
adx_neg,0.003583880644794757
log_return_5,0.003556046246686595
htf_fully_aligned_bear,0.0034868078048186923
candle_upper_wick,0.0033637385125260266
roc_5,0.0033171321686547017
h1_macd_above_zero,0.0032868857062324786
dist_s2_pct,0.003199809209408766
wr_exit_os,0.0031789798504346933
macd_pct,0.0031435237085521983
price_pos_20,0.003140720251152196
h1_supertrend_dir,0.003072251217442812
near_r2,0.0030438750745522825
near_s2,0.0029292188666603103
price_touch_lower,0.0029191769003609203
rsi_zone_num,0.002860924430432288
pat_hammer,0.0028064222221004798
stoch_k_norm,0.0027723260206173883
bb_overextended,0.0027662710797486945
adx_trending,0.0027474692584847915
rsi_slope_dir,0.002728604564991688
htf_bull_count,0.0027082329406278305
stoch_k,0.002706665244084583
roc_accel_pos,0.00269169845835604
h1_structure_score,0.002689180333633967
h4_macd_above_zero,0.002667548468555214
h1_adx_trending,0.002607403650745521
near_low_20,0.0025825973735780217
cci_above_zero,0.002543086402333916
dist_vwap_pct,0.002474937141748512
is_bearish,0.002437938431930853
roc_positive,0.0023983224668016057
pat_tweezer_bottom,0.0023709658367212505
price_touch_upper,0.0023115354533196353
supertrend_flip,0.0022340974247399004
bb_walk_lower,0.0022152915215221114
is_bullish,0.002182914099551514
cci_above_100,0.002004650323014001
h4_rsi_zone_num,0.0019288188935240314
dist_pivot_pct,0.0018966204252683916
roc_10,0.0018809082193529392
stoch_k_above_d,0.0018424864848585187
price_in_cloud,0.0018369034575820287
breakout_down_20,0.0018128772538785753
bb_width_shrinking,0.0017697730012509183
macd_hist,0.0017095125620696372
h1_bos_bear,0.0017076355945047084
candle_body,0.0017026706292746496
